"art" "gebiet" "bhd" "alter"
"FI" "A" 19 28
"EI" "A" 20 28
"EI" "B" 36 60
"FI" "A" 26 76
"FI" "D" NA 90
"FI" "B" 23 68
"BU" "B" 28 52
"BU" "D" 30 45
"FI" "C" 24 72
"FI" "C" 19 42
"BI" "A" 15 24
"BU" "C" 26 55
"EI" "A" 19 33
"BU" "B" 33 66
"EI" "A" 26 47
"BI" "C" 13 22
"EI" "B" 19 42
"BU" "C" 23 37
"FI" "A" 25 82
"FI" "B" 22 37
"EI" "A" 24 31
"FI" "B" 21 49
"EI" "C" 25 40
"BU" "B" 29 52
"BI" "D" 15 24
"BU" "A" 33 74
"FI" "C" 28 35
"TA" "D" 26 39
"TA" "C" 21 28
"BU" "B" 36 79
"BU" "B" 20 27
"EI" "A" 27 58
"EI" "B" 23 35
"BI" "B" 12 20
"FI" "D" 25 65
"BI" "C" 12 24
"BU" "A" 23 37
"BU" "D" 23 51
"BU" "A" 29 49
"BU" "B" 33 62
"EI" "C" 13 21
"FI" "C" 26 68
"FI" "D" 22 52
"FI" "A" 23 58
"EI" "A" 29 62
"BU" "D" 30 70
"EI" "D" 22 51
"BU" "D" 33 58
"BU" "A" 35 55
"EI" "D" 21 41
"FI" "C" 23 48
"FI" "C" NA 60
"EI" "A" 21 50
"FI" "C" 23 54
"FI" "D" 27 76
"BU" "A" 31 52
NA "B" 26 36
"FI" "D" 26 59
"BU" "D" 38 56
"BU" "B" 23 37
"FI" "D" 20 37
"FI" "D" 23 65
"BU" "A" 33 51
"FI" "D" 21 45
"BI" "B" 16 33
"BU" "B" 34 63
"FI" "D" 26 77
"FI" "A" 23 76
"BU" "D" 27 38
"EI" "C" 19 40
"EI" "C" 17 35
"BU" "B" 30 64
"EI" "B" 21 43
"BU" "D" 36 57
"EI" "C" 19 28
"BU" "A" 31 50
"BU" "A" 23 40
"EI" "C" 12 18
"BU" "C" 28 48
"BU" "C" 25 41
"EI" "D" 25 27
"EI" "B" 17 8
"FI" "D" 22 55
"FI" "A" 31 98
"FI" "C" 23 49
"FI" "B" 27 61
"EI" "B" 35 57
"BU" "A" 29 44
"FI" "C" 24 49
"BU" "A" 31 45
"EI" "C" 31 54
"FI" "B" 21 41
"BU" "D" 33 65
"TA" "D" 30 24
"FI" "B" 23 71
"BI" "B" 9 12
"FI" "C" 15 30
"BU" "A" 28 32
"EI" "A" 17 32
"FI" "D" 32 77
"EI" "A" 22 31
"TA" "A" 29 39
"BI" "D" 17 43
"FI" "B" 21 42
"BU" "A" 20 36
"EI" "A" 19 28
"EI" "A" 22 42
"EI" "B" 21 54
"BU" "B" 31 48
"EI" "B" 21 29
"EI" "A" 13 24
"FI" "C" 30 87
"BU" "C" 30 41
"EI" "C" 27 44
"FI" "A" 24 66
"TA" "C" 41 48
"BU" "C" 33 50
"EI" "C" 19 23
"FI" "C" 22 46
"FI" "B" 25 60
"FI" "C" 22 42
"FI" "C" 22 58
"BI" "A" 12 25
"FI" "B" 25 62
"BU" "C" 30 56
"FI" "C" 25 47
"FI" "C" 17 33
"EI" "D" 21 29
"FI" "A" 19 30
"TA" "A" 28 29
"BU" "D" 33 56
"FI" "D" 22 53
"EI" "D" 9 20
"BI" "B" 14 33
"FI" "C" 26 79
"FI" "B" 22 42
"EI" "B" 26 30
"BI" "A" 16 32
"EI" "A" 25 34
"FI" "C" 19 39
"EI" "C" 23 41
"FI" "C" 28 76
"FI" "A" 18 28
"FI" "A" 21 41
"EI" "C" 27 72
"BU" "D" 28 52
"BU" "C" 22 42
"BU" "C" 26 31
"EI" "C" 16 16
"FI" "A" NA 50
"EI" "B" 37 85
"EI" "B" 29 37
"BU" "D" 23 36
"TA" "A" 30 23
"BU" "D" 33 83
"EI" "A" 35 77
"BU" "C" 32 57
"BU" "B" 28 41
"EI" "A" 13 14
"FI" "D" NA 67
"FI" "C" 26 67
"BU" "B" 22 34
"BU" "A" 27 39
"FI" "A" 25 51
"TA" "C" 26 30
"FI" "D" 28 81
"FI" "C" 25 52
"BU" "A" 34 38
"EI" "C" 33 71
"FI" "B" 17 37
"FI" "D" 26 65
"BI" "D" 16 33
"EI" "C" 25 42
"BU" "A" 30 46
"BU" "A" 28 56
"EI" "C" 25 41
"BU" "C" 34 68
"EI" "D" 22 37
"FI" "B" 24 51
"BI" "B" 15 30
"FI" "A" 26 78
"EI" "D" 21 39
"BU" "B" 23 40
"FI" "C" 22 56
"EI" "C" 18 30
"BU" "D" 36 56
"EI" "A" 13 17
"FI" "B" 24 53
"FI" "C" 22 39
"EI" "D" 29 44
"BU" "B" 24 34
"EI" "B" 37 67
"EI" "D" 17 33
"BU" "D" 25 43
"FI" "C" 27 60
"FI" "A" 22 44
"BU" "C" 35 73
"FI" "D" 25 62
"BU" "B" 27 44
"FI" "C" 24 60
"FI" "B" 25 68
"FI" "C" 25 45
"EI" "A" 22 25
"BU" "B" 25 49
"EI" "C" 22 25
"BU" "D" 30 51
"EI" "D" 28 53
"BI" "D" 16 36
"BI" "C" 15 30
"BU" "C" 25 48
"EI" "C" 26 29
"TA" "A" 36 27
"BU" "C" 26 51
"BU" "B" 31 43
"FI" "A" 25 62
"FI" "C" 30 71
"FI" "B" 24 63
"FI" "A" 22 62
"BU" "B" 24 35
"BI" "D" 19 35
"BU" "A" 28 38
"BU" "A" 31 43
"EI" "C" 28 51
"EI" "D" 16 27
"EI" "D" 24 42
"BU" "B" 31 56
"EI" "B" 16 32
"EI" "A" 33 47
"BI" "D" 17 37
"BU" "C" 24 37
"EI" "C" 21 42
"BU" "C" 28 42
"FI" "B" 27 55
"BU" "B" 31 62
"FI" "C" 12 16
"FI" "A" 26 65
"BU" "A" 30 38
"BU" "A" 28 45
"FI" "A" 28 66
"EI" "C" 26 68
"FI" "D" 22 56
"FI" "A" 24 67
"FI" "D" 21 51
"BU" "B" 28 53
"BU" "B" 26 52
"FI" "A" 29 53
"EI" "C" 27 41
"BU" "B" 21 35
"BU" "B" 34 50
"BU" "B" 24 38
"FI" "B" 20 49
"FI" "D" NA 49
"EI" "C" 20 43
"BI" "C" 12 24
"EI" "C" 20 37
"FI" "B" 22 48
"EI" "D" 26 56
"FI" "D" 25 30
"FI" "C" 29 60
"EI" "D" 32 69
"BU" "A" 34 63
"BU" "C" 24 32
"EI" "C" 24 47
"EI" "B" 21 38
"BU" "A" 35 70
"FI" "A" 24 64
"EI" "C" 22 48
"FI" "D" 23 69
"FI" "D" 24 67
"FI" "A" 20 54
"BU" "D" 29 54
"EI" "D" 37 73
"EI" "D" 21 32
"BU" "C" 25 49
"FI" "C" 21 47
"BU" "C" 31 73
"BU" "C" 26 32
"FI" "C" 28 77
"EI" "D" 31 65
"BU" "B" 29 50
"EI" "D" 25 50
"BU" "C" 34 65
"EI" "A" 11 19
"FI" "A" 26 51
"FI" "B" 21 49
"BU" "A" 36 68
"EI" "A" 24 44
"FI" "B" 26 64
"TA" "B" 33 46
"FI" "B" 28 59
"BU" "A" 33 55
"BI" "D" 13 25
"FI" "B" 18 40
"BU" "A" 39 85
"BU" "B" 28 43
"BU" "B" 24 48
"FI" "D" 28 66
"FI" "C" 21 37
"EI" "D" NA 54
"FI" "A" 30 90
"EI" "C" 26 52
"TA" "D" 26 19
"FI" "C" 23 48
"FI" "B" 20 47
"TA" "A" 25 27
"BU" "B" 29 57
"BU" "A" 34 59
"FI" "A" 26 63
"BU" "B" 28 48
"FI" "A" 27 45
"EI" "D" 14 31
"TA" "A" 34 37
"FI" "B" 23 42
"EI" "D" 35 69
"EI" "A" 28 56
"BU" "D" 33 61
"EI" "D" 21 45
"EI" "B" 23 51
"EI" "B" 23 56
"FI" "D" 22 60
"FI" "D" 24 58
"TA" "C" 13 17
"BU" "B" 24 47
"EI" "D" 25 56
"BU" "A" 29 60
"BU" "D" 31 65
"BU" "C" 28 39
"FI" "C" 14 21
"BU" "D" 28 59
"BU" "A" 33 54
"EI" "B" 26 52
"EI" "A" 40 93
"EI" "B" 27 22
"FI" "B" 24 59
"EI" "B" 35 65
"EI" "B" 31 58
"EI" "A" 30 74
"FI" "D" 25 50
"BU" "B" 26 43
"FI" "A" 24 57
"FI" "A" 30 86
"FI" "A" 24 70
"FI" "B" 23 61
"FI" "C" 19 32
"TA" "C" 31 40
"FI" "B" 27 95
"BU" "C" 24 40
"BU" "D" 27 53
"EI" "A" 30 65
"EI" "C" 18 32
"BU" "D" 21 30
"BU" "B" 26 44
"BU" "B" 17 22
"FI" "A" 24 38
"BU" "A" 34 67
"FI" "B" 24 55
"EI" "D" 26 65
"FI" "A" 31 77
"EI" "D" 18 35
"BU" "A" 28 65
"FI" "D" 22 51
"FI" "D" 28 73
"FI" "C" 29 68
"EI" "C" 12 25
"FI" "B" 24 74
"BU" "C" 24 41
"FI" "D" 20 33
"EI" "D" 14 26
"BU" "D" 28 39
"BU" "B" 35 62
"EI" "D" 24 29
"FI" "B" 21 35
"EI" "A" 26 59
"FI" "C" 23 47
"FI" "D" 21 53
"BU" "B" 29 62
"TA" "A" 31 18
"BU" "A" 26 42
"FI" "D" 26 48
"EI" "C" 29 52
"BU" "D" 40 74
"TA" "C" 31 33
"BI" "D" 12 21
"EI" "D" 24 43
"FI" "A" 23 65
"FI" "D" 32 81
"BU" "D" 29 57
"FI" "C" 17 34
"BU" "B" 29 44
"BU" "D" 33 74
"EI" "D" 26 47
"BU" "A" 32 52
"EI" "B" 21 24
"BU" "B" 27 59
"EI" "A" 19 31
"FI" "A" 28 69
"EI" "A" 12 16
"BU" "A" 25 33
"BU" "C" 25 40
"FI" "D" 29 79
"FI" "C" 27 60
"EI" "C" 28 49
"BU" "C" 27 56
"BU" "D" 32 56
"BU" "C" 26 33
"BU" "C" 32 74
"TA" "C" 20 26
"EI" "D" 29 59
"FI" "C" 19 45
"EI" "B" 22 48
"EI" "A" 25 35
"BU" "A" 30 41
"FI" "B" 24 54
"BU" "A" 26 43
"FI" "D" 26 65
"EI" "B" 20 41
"EI" "A" 25 49
"BU" "B" 25 46
"BU" "C" 32 33
"FI" "C" 19 33
"EI" "B" 26 26
"FI" "C" 28 57
"FI" "C" 26 67
"FI" "D" 26 54
"BU" "D" 34 70
"BU" "A" 25 43
"FI" "D" 22 37
"BU" "B" 31 56
"BU" "D" NA 64
"BU" "D" 29 50
"BU" "A" 34 61
"BU" "D" 27 48
"BU" "D" 33 40
"FI" "D" 30 86
"EI" "B" 32 50
"BU" "B" 33 69
"TA" "A" 25 21
"EI" "B" 21 33
"BU" "A" 31 47
"EI" "B" 19 43
"BU" "B" 31 51
"FI" "B" 19 39
"BU" "C" 29 66
"EI" "C" 30 65
"FI" "B" 20 51
"EI" "A" 18 28
"BU" "B" 29 62
"BU" "B" 37 57
"EI" "C" 29 59
"BU" "C" 36 57
"BU" "D" 31 52
"FI" "D" 27 78
"BI" "C" 10 13
"FI" "C" 14 27
"EI" "C" 23 47
"BU" "A" 29 61
"FI" "C" 22 52
"FI" "B" 20 40
"TA" "B" 36 23
"BU" "C" 31 54
"EI" "D" 34 63
"BU" "C" 29 60
"BU" "D" 25 40
"BI" "A" 15 33
"EI" "D" 12 18
"FI" "D" 22 46
"EI" "C" 27 20
"BU" "A" 31 56
"BU" "D" 34 42
"BU" "A" 28 62
"FI" "C" 21 44
"BU" "A" 25 49
"BU" "D" 32 62
"FI" "B" 23 55
"BU" "B" 27 47
"FI" "C" 29 57
"EI" "B" 28 49
"FI" "D" 24 45
"EI" "D" 33 76
"BU" "C" NA 24
"FI" "D" 27 58
"BU" "C" 28 46
"FI" "C" 21 44
"EI" "A" 30 47
"FI" "D" 22 35
"FI" "A" 20 38
"FI" "D" 20 39
"EI" "C" 20 37
"BU" "A" 34 59
"EI" "C" 20 37
"FI" "D" 25 48
"BI" "B" 16 32
"FI" "C" 18 32
"EI" "D" 29 62
"BU" "A" 25 34
"BU" "A" 26 48
"BU" "B" 22 42
"FI" "B" 20 42
"FI" "D" 28 59
"FI" "B" 24 54
"FI" "B" 28 40
"BI" "D" 17 40
"BU" "D" 34 69
"BI" "C" 16 35
"FI" "C" 19 39
"BU" "C" 22 32
"FI" "A" 20 55
"EI" "D" 26 57
"BU" "A" 30 55
"BI" "D" 16 32
"FI" "D" 32 66
"TA" "B" 20 17
"BU" "C" 21 33
"BU" "C" 35 51
"BU" "C" 26 48
"TA" "A" 33 48
"EI" "D" 22 45
"EI" "B" 24 37
"BU" "D" 34 69
"FI" "B" 23 67
"FI" "D" 25 69
"BI" "A" 14 30
"TA" "D" 26 25
"BU" "A" 28 51
"FI" "D" 27 53
"EI" "D" 27 46
"EI" "C" 26 37
"BU" "B" 31 62
"BU" "D" 27 45
"BI" "D" 14 26
"BU" "C" 34 57
"FI" "B" 21 31
"EI" "A" 32 25
"BU" "A" 38 66
"FI" "C" 21 46
"BU" "C" 23 33
"EI" "C" 17 37
"BU" "C" 35 60
"BU" "C" 30 35
"BU" "B" 28 38
"BI" "A" 13 26
"BU" "A" 27 48
"FI" "C" 23 56
"EI" "A" 38 86
"EI" "A" 23 47
"BU" "C" 33 57
"BI" "C" 10 14
"FI" "B" 25 76
"BU" "B" 26 35
"BU" "C" 20 29
"BU" "B" 23 41
"BI" "D" 14 25
"BI" "D" 21 38
"EI" "C" 17 32
"BU" "C" 30 38
"BU" "D" 32 65
"BI" "B" 12 23
"BU" "B" 27 51
"FI" "C" 22 64
"FI" "B" 27 64
"BU" "A" 26 33
"EI" "C" 19 32
"BU" "B" 30 54
"BU" "B" 34 54
"FI" "C" 24 42
"EI" "D" 22 49
"FI" "C" 20 46
"BU" "B" 21 39
"BU" "A" 40 79
"BI" "B" 16 33
"BI" "A" 15 29
"BI" "A" NA 21
"BI" "D" 11 16
"FI" "A" 26 67
"FI" "C" 24 68
"BU" "B" 21 29
"BU" "B" 24 40
"FI" "A" 24 61
"EI" "B" 20 40
"BU" "C" 28 43
"FI" "C" 19 36
"FI" "D" 22 64
"FI" "B" 27 60
"BU" "C" 30 49
"FI" "D" 30 87
"EI" "D" 39 60
"FI" "C" 26 77
"BU" "D" 31 47
"BU" "A" 28 40
"BI" "D" 18 38
"BI" "C" 12 18
"BU" "B" 30 51
"EI" "D" 10 23
"BU" "B" 18 28
"BU" "C" 35 68
"FI" "B" 25 62
"BU" "D" 26 45
"BU" "A" 39 36
"EI" "C" 20 39
"EI" "D" 13 17
"FI" "D" 22 46
"TA" "B" 38 40
"EI" "A" 41 66
"BU" "A" 31 37
"BU" "D" 31 42
"TA" "A" 21 26
"BU" "B" 22 NA
"BU" "C" 30 54
"FI" "A" 27 64
"TA" "D" 29 30
"EI" "D" 24 49
"BU" "A" NA 87
"EI" "B" 24 50
"BU" "D" 37 51
"EI" "D" 18 30
"BU" "D" 24 39
"FI" "A" 24 72
"FI" "C" 25 67
"EI" "A" 41 58
"TA" "B" 33 34
"EI" "B" 26 44
"FI" "D" 25 50
"BU" "D" 35 63
"EI" "B" 27 57
"BU" "B" 38 80
"FI" "D" 26 54
"FI" "B" 23 41
"FI" "A" 26 67
"BU" "C" 28 59
"EI" "A" 38 100
NA "C" 13 25
"BI" "B" 14 30
"EI" "A" 20 38
"FI" "A" 23 49
"EI" "D" 30 49
"FI" "A" 28 84
"FI" "C" 20 52
"BU" "A" 35 54
"FI" "A" NA 32
"EI" "B" 25 34
"BU" "D" 29 39
"FI" "C" 20 32
"EI" "B" 7 7
"BU" "B" 28 50
"EI" "D" 27 38
"TA" "A" 39 34
"FI" "A" 21 50
"BU" "B" 37 69
"TA" "B" 20 26
"FI" "B" 27 74
"BU" "D" 31 NA
"BU" "C" 30 61
"BU" "C" 29 51
"BU" "B" 30 58
"FI" "B" 20 58
"FI" "C" 25 57
"BU" "D" 37 74
"EI" "A" 28 57
"BU" "B" 21 39
"BU" "B" 17 28
"EI" "B" 24 35
"FI" "D" 24 54
"BU" "C" 21 29
"BU" "C" 18 24
"FI" "D" 29 77
"BU" "B" 27 46
"BU" "D" 26 32
"BU" "A" 35 66
"TA" "C" 18 22
"EI" "D" 30 54
"BU" "C" 28 37
"EI" "A" 20 34
"EI" "B" 28 47
"BI" "A" 12 19
"BU" "A" 33 66
"FI" "D" 19 42
"BI" "A" 15 34
"FI" "D" 24 52
"EI" "B" 29 56
"BU" "A" 29 37
"BU" "B" 33 46
"FI" "B" 27 80
"EI" "C" 21 49
"FI" "A" 29 77
"BU" "B" 28 26
"EI" "C" 22 39
"EI" "D" 21 37
"BU" "D" 28 44
"TA" "D" 39 49
"BI" "A" 15 32
"FI" "A" 24 44
"BI" "A" 12 25
"EI" "B" 30 45
"EI" "D" 26 41
"BU" "A" 46 90
"BU" "D" 16 23
"BU" "B" 28 57
"BI" "A" 15 24
"EI" "B" 21 57
"EI" "C" 34 42
"EI" "A" 25 56
"TA" "B" 18 21
"BU" "D" 38 89
"EI" "B" 25 53
"EI" "D" 27 62
"EI" "D" 13 26
"BU" "D" 28 45
"EI" "D" 22 47
"EI" "A" 26 25
"BU" "A" 26 49
"FI" "B" 24 52
"BU" "D" 34 57
"BU" "B" 20 30
"EI" "C" 23 31
"EI" "A" 12 NA
"BU" "B" 33 47
"FI" "A" 23 78
"EI" "B" 28 61
"EI" "B" 22 48
"FI" "C" 23 50
"EI" "B" 32 79
"FI" "C" NA 63
"BU" "B" 19 25
"BU" "D" 30 47
"BU" "D" 34 54
"EI" "D" 14 23
"FI" "A" 28 72
"FI" "B" 26 57
"FI" "B" 27 75
"FI" "B" 25 55
"BU" "D" 34 59
"EI" "B" 36 79
"FI" "C" 24 39
"BU" "C" 29 49
"BU" "B" 20 34
"EI" "B" 15 23
"BU" "C" 30 50
"BU" "D" 31 70
"EI" "C" 25 56
"BU" "C" 31 60
"FI" "D" 25 49
"EI" "C" 23 40
"EI" "B" 21 31
"BI" "C" 9 11
"TA" "B" 33 39
"BU" "B" 28 56
"BU" "D" 34 43
"BU" "C" 27 46
"BU" "A" 29 46
NA "A" 26 37
"BI" "D" 15 28
"FI" "C" 22 33
"BI" "A" 13 23
"BU" "A" 38 85
"FI" "A" 27 33
"FI" "D" 27 70
"BU" "A" 25 38
"TA" "A" 30 26
"EI" "C" 21 44
"BU" "B" 37 48
"EI" "C" 34 73
"EI" "A" 21 45
"BI" "A" 18 30
"EI" "C" 23 55
"EI" "A" 29 62
"BU" "B" 28 41
"BU" "B" 28 46
"EI" "B" 39 65
"BI" "A" 12 24
"FI" "D" 26 68
"TA" "C" 26 27
"BU" "B" 34 60
"BU" "C" 27 50
"BU" "B" 20 29
"BI" "D" 21 34
"BU" "B" 21 34
"BU" "B" 29 62
"BU" "A" 31 51
"TA" "D" 27 30
"FI" "A" 25 55
"FI" "C" 20 49
"FI" "A" 24 33
"BU" "B" 34 67
"BU" "D" 36 84
"EI" "B" 22 56
"EI" "C" 31 52
"FI" "A" 20 47
"EI" "D" 21 42
"BU" "B" 27 45
"FI" "B" 24 NA
"EI" "A" 11 11
"FI" "C" 25 55
"BU" "B" 34 68
"EI" "C" 26 49
"TA" "A" 28 34
"FI" "C" 20 56
"FI" "A" 21 56
"BU" "D" 33 64
"FI" "A" 25 51
"EI" "D" 32 50
"FI" "D" 28 82
"TA" "A" 31 32
"FI" "D" 27 68
"EI" "A" 34 59
"BU" "D" 27 49
"FI" "B" 21 58
"BU" "D" 21 34
"FI" "D" 24 65
"BU" "B" 29 47
"BU" "C" 29 44
"BU" "A" 28 35
"EI" "C" 13 29
"FI" "D" 24 53
"FI" "D" 21 39
"BU" "D" 26 42
"BU" "D" 25 40
"EI" "B" 22 43
"FI" "A" NA 53
"EI" "C" 26 40
"FI" "B" 19 33
"FI" "D" 19 30
NA "D" 27 36
"BU" "D" 23 42
"TA" "C" 20 26
"EI" "C" 30 55
"BI" "B" 13 26
"EI" "C" 23 66
"FI" "C" 23 50
"EI" "C" 28 53
"EI" "D" 17 38
"BU" "A" 33 NA
"BU" "A" 35 66
"BI" "D" 15 29
"EI" "B" 30 57
"FI" "D" 26 71
"TA" "C" 28 22
"BU" "B" 19 25
"BU" "B" 26 38
"BU" "A" 32 43
"BI" "A" 17 36
"FI" "A" 25 NA
"BU" "C" 31 53
"FI" "C" 22 47
"EI" "B" 16 22
"BU" "A" 26 39
"BU" "D" 24 46
"BU" "D" 29 48
"FI" "C" 20 51
"FI" "A" 22 50
"BU" "B" 24 34
"EI" "B" 28 83
"FI" "D" 24 61
"BU" "A" 26 46
"BU" "C" 32 47
"BU" "D" 36 53
"BU" "D" 33 61
"FI" "D" 24 53
"FI" "D" 25 49
"EI" "D" 25 42
"BI" "A" 12 27
"EI" "C" 15 29
"FI" "C" 22 52
"BI" "A" 16 36
"BU" "D" 28 47
"BU" "B" 25 41
"BU" "B" 24 41
"BU" "A" 35 45
"BU" "A" 30 41
"FI" "B" 24 52
"FI" "B" 21 41
"FI" "C" 12 17
"BI" "D" 16 34
"FI" "A" 24 43
"BU" "D" 27 49
